Qu'est ce que la gamétogénèse ?	B
Comment s'appelle la gamétogénèse masculine ? Féminine ?	D
Comment s'appelle les gamètes mâles et les gamètes femelles ?	D
Comment s'appelle la première cellule de l'embryon, issue de la fécondation ?	D
Comment s'appellent les cellules souches de la lignée germinale chez l'homme ?	D
Où a lieu la spermatogénèse ?	B
Que sont les cellules de Sertoli ?	D
Comment se nomme la dernière étape de la spermatogénèse ?	D
A cette étape, comment se nomme la future gamète ?	D
Quel est le rôle des cellules de Leydig ?	A
Quelle est l'hormone hypophysaire qui contrôle la production de testostérone ?	B
En conjonction avec quelle hormone hypophysaire la testostérone contrôle t elle la spermatogénèse ?	B
Par quelle hormone, produit par l'hypothalamus, les gonadotrophines hypophysaires sont elles contrôlées ?	D
Comment nomme - t -on les 3 parties d'un spermatozoïde ?	B
Quel est le rôle de chacune de ces parties ?	C
Quand commence la spermatogénèse ? L'ovogénèse ?	C
Comment s'appellent les cellules souches de la lignée germinale chez la femme ?	D
Qu'est ce que le follicule primordial ?	C
Décrire les différents stades de différenciation du follicule ?	B
A quoi correspond l'ovulation ? Quand a-t-elle lieu ?	D
A ce stade, dans quel étape de la méiose l'ovule se trouve t il ?	A
Comment se nomme la petite cellule issue de la première division de méiose que l'on trouve accolé à l'ovocyte II ?	C
Sous le contrôle hormonal de quelle glande est soumis le cycle ovarien?	C
Quelles sont les hormones sécrétées par cette glande de contrôle et quels sont leurs rôles principaux ?	D
Quelles sont les hormones sécrétées par l'ovaire ?	A
Concernant la muqueuse utérine, 2 modifications sont sous la dépendance des hormones ovariennes?	B
Quelles sont caractéristiques de la glaire cervicale en phase ovulatoire ?	A
Quelle hormone est sécrétée par l'embryon pour maintenir le corps jaune?	C
Quelle est la conséquence directe de la dégénérescence du corps jaune ?	B
Quelles sont les différentes phases du cycle utérin ?	C
Qu'est ce que la période de fécondabilité ? A combien de jours par mois environ correspond elle ?	A
Donner la durée de survie des gamètes.	C
Quelle est la source d'énergie permettant le déplacement du spermatozoïde ?	B
