Q209: [V115] Quel élément correspond le mieux à : exemples de TC dense régulier unitendu ?	Réponse: C — Tendon/Ligament
Q341: [V247] Quel élément correspond le mieux à : exemples de TC dense régulier unitendu ?	Réponse: C — Tendon/Ligament
Q394: [V300] Quel élément correspond le mieux à : où passent le nerf ulnaire et l’artère ulnaire ?	Réponse: C — Canal de Guyon
Q397: [V303] Lequel des énoncés décrit correctement : Canal carpien ?	Réponse: D — zone classique de compression du nerf médian
Q398: [V304] Parmi les propositions suivantes, laquelle correspond le mieux à : branche terminale issue de la corde latérale ?	Réponse: C — Nerf musculo-cutané
Q138: [V44] Lequel des énoncés décrit correctement : Stroma cornéen / aponévrose ?	Réponse: A — exemples de TC dense régulier bitendu
Q142: [V48] Parmi les propositions suivantes, laquelle correspond le mieux à : la coloration de mise en évidence des fibres élastiques ?	Réponse: D — Orcéine
Q143: [V49] Parmi les propositions suivantes, laquelle correspond le mieux à : exemples de TC dense régulier bitendu ?	Réponse: C — Stroma cornéen / aponévrose
Q144: [V50] Parmi les propositions suivantes, laquelle correspond le mieux à : la composition du disaccharide de base des GAG ?	Réponse: D — Acide uronique + hexosamine
Q145: [V51] Lequel des énoncés décrit correctement : Consentement éclairé ?	Réponse: A — information sur bénéfices/risques/alternatives avant un soin
Q146: [V52] Parmi les propositions suivantes, laquelle correspond le mieux à : exemple de TC à prédominance de fibres élastiques ?	Réponse: C — Ligaments jaunes
Q155: [V61] Lequel des énoncés décrit correctement : Racine postérieure ?	Réponse: C — la racine sensitive (avec ganglion spinal)
Q156: [V62] Parmi les propositions suivantes, laquelle correspond le mieux à : fragment cellulaire impliqué dans l’hémostase ?	Réponse: A — Plaquette
Q157: [V63] Quel élément correspond le mieux à : localisation citée du TC lâche entre fibres musculaires striées ?	Réponse: B — Endomysium
Q160: [V66] Lequel des énoncés décrit correctement : Plexus brachial (C5–T1) ?	Réponse: C — le plexus innervant ceinture scapulaire + membre supérieur
